,,,,,,,,,,
,,,,,,,,,,
Sprint Backlog Template,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Backlog Item,Story Points,Responsible,Status,Original Estimate,Day 1,Day 2,Day 3,Day 4,Day 5,Sprint Review
User Story #1,8,,,,,,,,,
Task ,,,,7,5,3,0,0,0,0
Task ,,,,3,1,1,5,0,1,0
Task ,,,,1,0.5,0,3,0,0,0
Task,,,,0.5,1,2,3,1,0,0
User Story #2,1,,,,,,,,,
Task ,,,,3,3,0.5,0.5,0,0,2
Task,,,,3,5,5,1,1,1,0
Task ,,,,2,2,5,0,1,0,1
Task ,,,,5,5,9,5,1,0,1
User Story #3,5,,,,,,,,,
Task,,,,8,6,0,0,0,0,0
Task ,,,,3,1,3,3,3,0,0
Task ,,,,1.5,1,0.5,0.5,1,1,0
Task,,,,2,0.5,0,0,0,0,3
User Story #4,8,,,,,,,,,
Task ,,,,9,4,2,2,1,1,0
Task ,,,,6,6,3,3,3,1,1
Task ,,,,6,2,8,8,1,0,1
Task ,,,,0.5,0.5,0.5,0.5,0,0,0
User Story #5,3,,,,,,,,,
Task ,,,,2,1,1,1,0.5,1,1
Task,,,,6,6,6,0.5,3,9,0
Task,,,,9,9,9,4,3,3,3
Task,,,,0.5,0.5,0.5,1,0.5,0,1
Total,,,,78,60,59,41,20,18,14
,,,,,,,,,,
,,,,,,,,,,
Create a Sprint Backlog in Smartsheet,,,,,,,,,,
